source_site,search_url,role,state,city,zip_code,location_scope,location_source,parse_location?,notes,setting_type,,,,,,,,,,,,,,,,
Sunrise Senior Living,https://uscareers-sunriseseniorliving.icims.com/jobs/search?ss=1&country=US&mobile=false&width=1300&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
ECHN Visiting Nurse & Health Services of CT,https://pm.healthcaresource.com/cs/echn#/results?whereControl=radius&radiusDistance=25&radiusUnit=mi&radius%5Bselection%5D%5Bdistance%5D=25&radius%5Bselection%5D%5Bunit%5D=mi&Facility=Visiting%20Nurse%20%26%20Health%20Services%20of%20CT&sort=titleAlphaAsc,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,home_care,,,,,,,,,,,,,,,,
Atria,https://atriacareers.com/careers/category/care-and-nursing/,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
Monarch Communities,https://careers.smartrecruiters.com/MonarchCommunities,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
Senior Living Communities,https://senior-living-communities.jobs.net/jobs,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
Maplewood Senior Living,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,ALL_MATCHING,,,,multi,card body,Yes,Multi-location or ATS feed; extract location per job,assisted_living,,,,,,,,,,,,,,,,
Duncaster Retirement Community,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=ff7523f0-dfc2-4bb0-8c7a-f3e7bd97a59e&ccId=19000101_000001&lang=en_US,ALL_MATCHING,CT,Bloomfield,6002,fixed,static,No,Single-site facility,assisted_living,,,,,,,,,,,,,,,,
Alliance Health,https://alliancehhs.org/open-positions/,ALL_MATCHING,MA,,,multi,card body,Yes,Multi-site healthcare network career page,snf,,,,,,,,,,,,,,,,
ALDEN COURT NURSING CARE & REHABILITATION CENTER,https://www.aldencourtnursing.com/employment,ALL_MATCHING,MA,Fairhaven,2719,fixed,static,No,Direct employer career page,snf,,,,,,,,,,,,,,,,
BaneCare,https://www.banecare.com/Employment-Opportunities,ALL_MATCHING,MA,,,multi,card body,Yes,Corporate career page for multiple facilities,snf,,,,,,,,,,,,,,,,
Always Best Care,https://alwaysbestcare.com/manchester/caregivers/#Join-Our-Team,ALL_MATCHING,MA,,,multi,card body,Yes,"Franchise career page, home care focus",home_care,,,,,,,,,,,,,,,,
UniversaCare,https://www.intelycare.com/jobs/?listing_page=1&employer_id=3843912,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
CenterWell,https://www.centerwellcareers.com/us/en/search-results,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
LHC Group,https://lhcgroup.jibeapply.com/careers-home/jobs?view=search&page=1,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
enhabit,https://careers.ehab.com/search-jobs,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
Amedisys,https://careers.amedisys.com/careers-home/jobs?tags1=Homecare&page=1,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
Right at Home,https://www.rightathome.net/tolland/jobs,ALL_MATCHING,CT,Tolland,6084,fixed,static,No,Direct facility career page,home_care,,,,,,,,,,,,,,,,
Bristol Health,https://www.bristolhealth.org/careers,ALL_MATCHING,CT,Bristol,6010,fixed,static,No,Direct facility career page,mixed,,,,,,,,,,,,,,,,
All Ways Caring,https://careers-allwayscaring.icims.com/jobs/search?ss=1&hashed=-626002160,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
Trinity Health at Home,https://jobs.trinity-health.org/athome/search-results?m=3,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
Charter Senior Living,https://www.careersatcharter.com/find-your-next-role/,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,assisted_living,,,,,,,,,,,,,,,,
Elara Caring,https://careers.elara.com/us/en/search-results,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
Brightview Senior Living,https://careers.brightviewseniorliving.com/career-home/jobs,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,assisted_living,,,,,,,,,,,,,,,,
Aaron Manor Nursing and Rehabilitation Center,https://aaronmanor.com/Careers.aspx,ALL_MATCHING,CT,Chester,6412,fixed,static,No,Direct facility career page,snf,,,,,,,,,,,,,,,,
accentCare,https://careers.accentcare.com/careers-home/jobs,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
Senior Lifestyle,https://www.seniorlifestyle.com/careers/search/,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,assisted_living,,,,,,,,,,,,,,,,
PathWell,https://pathwellhealth.com/careers/,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
Always Best Care,https://alwaysbestcare.com/new-haven/caregivers/#Join-Our-Team,ALL_MATCHING,CT,New Haven,6510,fixed,static,No,Direct facility career page,home_care,,,,,,,,,,,,,,,,
Encompass Health,https://careers.encompasshealth.com/jobs/?&filter[category][]=Nurse+Mgmt&filter[category][]=Nursing,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,rehab_only,,,,,,,,,,,,,,,,
Aspen Hill,https://aspenhillrehab.com/apply-today/,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,snf,,,,,,,,,,,,,,,,
Southcoast Health,https://careers-southcoast.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchCategory=47355,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
Southcoast Health,https://careers-southcoast.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchCategory=47351,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,snf,,,,,,,,,,,,,,,,
Southcoast Health,https://careers-southcoast.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchCategory=47350,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,assisted_living,,,,,,,,,,,,,,,,
SCA Health,https://careers.sca.health/jobs?page=1,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,rehab_only,,,,,,,,,,,,,,,,
Healogics,https://healogics.wd5.myworkdayjobs.com/healogics,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,rehab_only,,,,,,,,,,,,,,,,
Guardian Angel Senior Services,https://www.intelycare.com/jobs/?listing_page=1&employer_id=2038009,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
Hathorne Hill Rehab & Healthcare Center,https://hathornehhc.com/careers/,ALL_MATCHING,MA,Danvers,1923,fixed,static,No,Direct facility career page,snf,,,,,,,,,,,,,,,,
Seniors Helping Seniors,https://www.intelycare.com/jobs/?listing_page=1&employer_id=4978638,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,home_care,,,,,,,,,,,,,,,,
A Place At Home,https://aplaceathome.com/merrimack-valley/careers/,ALL_MATCHING,MA,Methuen,1844,fixed,static,No,Direct facility career page,home_care,,,,,,,,,,,,,,,,
Briarwood Rehab & Healthcare Center,https://briarwoodrehab.com/apply-today/,ALL_MATCHING,MA,Needham,2494,fixed,static,No,Direct facility career page,snf,,,,,,,,,,,,,,,,
Integritus Healthcare,https://recruiting.ultipro.com/BER1002BHCS/JobBoard/ab6dd2ae-e2f4-4e5a-9d54-ba5e47b6291f/?q=&o=postedDateDesc,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,snf,,,,,,,,,,,,,,,,
Hebrew Senior Life,https://hebrewseniorlife.wd501.myworkdayjobs.com/HebrewSeniorLifeCareers,ALL_MATCHING,,,,multi,card body,Yes,Network or national feed,mixed,,,,,,,,,,,,,,,,
Associated Home Care,https://www.associatedhomecare.com/careers/#careers,ALL_MATCHING,MA,,,,,,,,,,,,,,,,,,,,,,,
Honor Health Network,https://honorhealthnetwork.com/job-openings/?job__location_spec=massachusetts,ALL_MATCHING,MA,,,,,,,,,,,,,,,,,,,,,,,
Honor Health Network,https://honorhealthnetwork.com/job-openings/,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
FiveStar Nursing,https://jobs.apploi.com/profile/fivestarnusing,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
Gardenview Home Care,https://www.intelycare.com/jobs/?listing_page=1&employer_id=2315252,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
Bond Health Staffing,https://bondhealthstaffing.com/view-jobs/,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
MJHS Health System,https://mjhs.jobs/jobs/,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
DRIFT Services,https://www.intelycare.com/jobs/?listing_page=1&employer_id=2064688,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
Fine Care Center,https://www.intelycare.com/jobs/?employer_id=2315019,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
Tandym Group,https://careers.tandymgroup.com/#/healthcare,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
The Jewish Home,https://jewishhome.org/careers-and-culture/job-listings/,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
Allendale Rehabilitation & Healthcare Center,https://allendalehc.com/careers/,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire Center,https://www.sapphirerehab.com/careers,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
Laconia Nursing Home,https://www.laconianursinghome.com/job-openings,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
Compassion Home Care,https://www.compassionhomellc.com/careers/#apply,ALL_MATCHING,,,,,,,,,,,,,,,,,,,,,,,,
Hometown Nannies,https://hometownnannies.com/job-board/,ALL_MATCHING,"CT, NY",,,,,,,,,,,,,,,,,,,,,,,
Endurance Home Care,https://endurancehomecare.com/job-openings/,ALL_MATCHING,CT,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
